disorder;disorder_OMIM;disorder_cat;symptom;symptom_cat;gene_symb;gene_OMIM;gene_cytoloc
3-M syndrome;273750;autosomal recessive disease;short thorax;Abnormality of the thorax;CUL7, 3M1;609577;6p21.1
3-M syndrome;612921;autosomal recessive disease;prominent nasal tip;Abnormality of the nasal tip;OBSL1, KIAA0657, 3M2;610991;2q35
3-M syndrome;614205;autosomal recessive disease;midface retrusion;Abnormality of the midface;CCDC8, 3M3;614145;19q13.32
3-Methylcrotonyl-CoA carboxylase deficiency;210200;amino acid metabolic disorder;feeding difficulties in infancy;Feeding difficulties;MCCC1, MCCA;609010;3q27.1
3-Methylcrotonyl-CoA carboxylase deficiency;210210;amino acid metabolic disorder;propionyl-coa carboxylase deficiency;Abnormality of amino acid metabolism;MCCC2, MCCB;609014;5q13.2
3MC syndrome;257920;syndrome;underdeveloped supraorbital ridges;Abnormality of the supraorbital ridges;MASP1, CRARF, 3MC1;600521;3q27.3
3MC syndrome;265050;syndrome;premaxillary prominence;Abnormality of the premaxilla;COLEC11, CLK1, 3MC2;612502;2p25.3
46 XX gonadal dysgenesis;233300;gonadal dysgenesis;osteoporosis;Reduced bone mineral density;FSHR, ODG1;136435;2p16.3
46 XX gonadal dysgenesis;400045;gonadal dysgenesis;urogenital sinus anomaly;Abnormality of the urethra;SRY, TDF, TDY, SRXX1, SRXY1;480000;Yp11.31
46 XX gonadal dysgenesis;614324;gonadal dysgenesis;primary amenorrhea;Amenorrhea;PSMC3IP, TBPIP, GT198, HOP2, ODG3;608665;17q21.2
46 XY gonadal dysgenesis;233420;gonadal dysgenesis;sex reversal;Abnormal sex determination;DHH, SRXY7, GDXYM;605423;12q13.12
46 XY gonadal dysgenesis;300018;gonadal dysgenesis;sex reversal;Abnormal sex determination;DAX1, AHC, AHX, NR0B1, SRXY2;300473;Xp21.2
46 XY gonadal dysgenesis;400044;gonadal dysgenesis;sex reversal;Abnormal sex determination;SRY, TDF, TDY, SRXX1, SRXY1;480000;Yp11.31
46 XY gonadal dysgenesis;612965;gonadal dysgenesis;sex reversal;Abnormal sex determination;NR5A1, FTZF1, FTZ1, SF1, AD4BP, POF7, SRXY3, SPGF8;184757;9q33.3
46 XY gonadal dysgenesis;613080;gonadal dysgenesis;sex reversal;Abnormal sex determination;CBX2, M33, SRXY5;602770;17q25.3
46 XY gonadal dysgenesis;613762;gonadal dysgenesis;dysgerminoma;Germinoma;MAP3K1, MEKK1, MEKK, SRXY6;600982;5q11.2
46 XY gonadal dysgenesis;614279;gonadal dysgenesis;sex reversal;Abnormal sex determination;AKR1C2, DDH2, DD2, HAKRD, SRXY8;600450;10p15.1
46 XY gonadal dysgenesis;614279;gonadal dysgenesis;sex reversal;Abnormal sex determination;AKR1C4, CHDR, CDR, HAKRA, DD4;600451;10p15.1
ABCD syndrome;600501;autosomal recessive disease;hypopigmentation of the fundus;Abnormality of the retinal pigment epithelium;EDNRB, HSCR2, ABCDS, WS4A;131244;13q22.3
ACTH-secreting pituitary adenoma;219090;functioning pituitary adenoma;skin ulcer;Localized skin lesion;AIP, XAP2, ARA9;605555;11q13.2
ADULT syndrome;103285;autosomal dominant disease;scalp hair loss;Early balding;TP63, TP73L, KET, EEC3, SHFM4, LMS, RHS, OFC8;603273;3q28
AGAT deficiency;612718;cerebral creatine deficiency syndrome;abnormality of creatine metabolism;Abnormality of amino acid metabolism;GATM, AGAT, CCDS3;602360;15q21.1
ARC syndrome;208085;syndrome;giant cell hepatitis;Hepatitis;VPS33B;608552;15q26.1
ARC syndrome;613404;syndrome;giant cell hepatitis;Hepatitis;VIPAS39, VIPAR, SPE39, C14orf133;613401;14q24.3
Aarskog-Scott syndrome;305400;autosomal dominant disease;clinodactyly;Abnormality of digit;FGD1, FGDY, AAS, MRXS16;300546;Xp11.22
Adams-Oliver syndrome;100300;syndrome;aplasia cutis congenita over posterior parietal area;Aplasia cutis congenita over parietal area;ARHGAP31, CDGAP, KIAA1204, AOS1;610911;3q13.33
Adams-Oliver syndrome;614219;syndrome;small palpebral fissure;Abnormal size of the palpebral fissures;DOCK6, KIAA1395, AOS2;614194;19p13.2
Adams-Oliver syndrome;614814;syndrome;short palpebral fissure;Abnormal size of the palpebral fissures;RBPJ, RBPSUH, IGKJRB1, AOS3;147183;4p15.2
Adams-Oliver syndrome;615297;syndrome;toenail dysplasia;Abnormality of the toenails;EOGT, EOGT1, C3orf64, AOS4;614789;3p14.1
Aicardi-Goutieres syndrome;225750;autosomal recessive disease;chilblain lesions;Abnormality of finger;TREX1, AGS1, CRV, HERNS;606609;3p21.31
Aicardi-Goutieres syndrome;610181;autosomal recessive disease;chronic csf lymphocytosis;CSF lymphocytic pleiocytosis;RNASEH2B, DLEU8, FLJ11712, AGS2;610326;13q14.3
Aicardi-Goutieres syndrome;610329;autosomal recessive disease;severe global developmental delay;Global developmental delay;RNASEH2C, AYP1, FLJ20974, AGS3;610330;11q13.1
Aicardi-Goutieres syndrome;610333;autosomal recessive disease;csf lymphocytic pleiocytosis;CSF pleocytosis;RNASEH2A, RNHIA, AGS4;606034;19p13.2
Aicardi-Goutieres syndrome;612952;autosomal recessive disease;chilblain lesions;Abnormality of finger;SAMHD1, AGS5, DCIP, CHBL2;606754;20q11.23
Aicardi-Goutieres syndrome;615010;autosomal recessive disease;loss of ability to walk;Progressive inability to walk;ADAR, DRADA, DSH, DSRAD, IFI4, G1P1, AGS6;146920;1q21.3
Aicardi-Goutieres syndrome;615846;autosomal recessive disease;feeding difficulties;Abdominal symptom;IFIH1, MDA5, AGS7;606951;2q24.2
Alagille syndrome;118450;liver disease;short distal phalanx of finger;Aplasia/Hypoplasia of the distal phalanges of the hand;JAG1, AGS, AHD;601920;20p12.2
